Date,"Close Price"
"2017-05-08 00:00:00",1555.47
"2017-05-08 00:01:00",1556.52
"2017-05-08 00:02:00",1555.75
"2017-05-08 00:03:00",1556.03
"2017-05-08 00:04:00",1555.91
"2017-05-08 00:05:00",1555.87
"2017-05-08 00:06:00",1555.86
"2017-05-08 00:07:00",1555.99
"2017-05-08 00:08:00",1555.88
"2017-05-08 00:09:00",1556.09
"2017-05-08 00:10:00",1556.25
"2017-05-08 00:11:00",1556.76
"2017-05-08 00:12:00",1557.02
"2017-05-08 00:13:00",1557.1
"2017-05-08 00:14:00",1557.17
"2017-05-08 00:15:00",1557.05
"2017-05-08 00:16:00",1558.2
"2017-05-08 00:17:00",1559.36
"2017-05-08 00:18:00",1560.26
"2017-05-08 00:19:00",1559.74
"2017-05-08 00:20:00",1559.54
"2017-05-08 00:21:00",1559.56
"2017-05-08 00:22:00",1559.74
"2017-05-08 00:23:00",1559.67
"2017-05-08 00:24:00",1559.39
"2017-05-08 00:25:00",1559.77
"2017-05-08 00:26:00",1560.13
"2017-05-08 00:27:00",1560.49
"2017-05-08 00:28:00",1560.76
"2017-05-08 00:29:00",1560.56
"2017-05-08 00:30:00",1560.83
"2017-05-08 00:31:00",1560.48
"2017-05-08 00:32:00",1560.32
"2017-05-08 00:33:00",1560.23
"2017-05-08 00:34:00",1560.4
"2017-05-08 00:35:00",1560.39
"2017-05-08 00:36:00",1560.72
"2017-05-08 00:37:00",1560.74
"2017-05-08 00:38:00",1560.78
"2017-05-08 00:39:00",1560.87
"2017-05-08 00:40:00",1560.82
"2017-05-08 00:41:00",1560.61
"2017-05-08 00:42:00",1560.5
"2017-05-08 00:43:00",1560.76
"2017-05-08 00:44:00",1560.93
"2017-05-08 00:45:00",1561.17
"2017-05-08 00:46:00",1561.27
"2017-05-08 00:47:00",1561.27
"2017-05-08 00:48:00",1561.41
"2017-05-08 00:49:00",1561.52
"2017-05-08 00:50:00",1561.32
"2017-05-08 00:51:00",1561.57
"2017-05-08 00:52:00",1561.29
"2017-05-08 00:53:00",1561.45
"2017-05-08 00:54:00",1561.38
"2017-05-08 00:55:00",1561.19
"2017-05-08 00:56:00",1561.11
"2017-05-08 00:57:00",1561.17
"2017-05-08 00:58:00",1560.88
"2017-05-08 00:59:00",1560.32
"2017-05-08 01:00:00",1560.96
"2017-05-08 01:01:00",1561.01
"2017-05-08 01:02:00",1561.28
"2017-05-08 01:03:00",1561.43
"2017-05-08 01:04:00",1561.32
"2017-05-08 01:05:00",1563.42
"2017-05-08 01:06:00",1563.73
"2017-05-08 01:07:00",1564.5
"2017-05-08 01:08:00",1564.8
"2017-05-08 01:09:00",1565.04
"2017-05-08 01:10:00",1564.7
"2017-05-08 01:11:00",1564.69
"2017-05-08 01:12:00",1565.17
"2017-05-08 01:13:00",1565.17
"2017-05-08 01:14:00",1565.24
"2017-05-08 01:15:00",1565.87
"2017-05-08 01:16:00",1565.93
"2017-05-08 01:17:00",1566.13
"2017-05-08 01:18:00",1566.57
"2017-05-08 01:19:00",1567.89
"2017-05-08 01:20:00",1566.95
"2017-05-08 01:21:00",1567.04
"2017-05-08 01:22:00",1567.98
"2017-05-08 01:23:00",1568.16
"2017-05-08 01:24:00",1569.43
"2017-05-08 01:25:00",1569.98
"2017-05-08 01:26:00",1570.45
"2017-05-08 01:27:00",1571.94
"2017-05-08 01:28:00",1571.64
"2017-05-08 01:29:00",1572.55
"2017-05-08 01:30:00",1572.46
"2017-05-08 01:31:00",1571.96
"2017-05-08 01:32:00",1571.78
"2017-05-08 01:33:00",1572.02
"2017-05-08 01:34:00",1571.6
"2017-05-08 01:35:00",1571.27
"2017-05-08 01:36:00",1571.25
"2017-05-08 01:37:00",1571.39
"2017-05-08 01:38:00",1571.48
"2017-05-08 01:39:00",1571.39
"2017-05-08 01:40:00",1570.75
"2017-05-08 01:41:00",1570.57
"2017-05-08 01:42:00",1570.55
"2017-05-08 01:43:00",1570.37
"2017-05-08 01:44:00",1570.2
"2017-05-08 01:45:00",1569.99
"2017-05-08 01:46:00",1570.21
"2017-05-08 01:47:00",1570.06
"2017-05-08 01:48:00",1570.83
"2017-05-08 01:49:00",1570.66
"2017-05-08 01:50:00",1570.1
"2017-05-08 01:51:00",1569.39
"2017-05-08 01:52:00",1568.94
"2017-05-08 01:53:00",1568.77
"2017-05-08 01:54:00",1568.72
"2017-05-08 01:55:00",1568.92
"2017-05-08 01:56:00",1568.69
"2017-05-08 01:57:00",1568.7
"2017-05-08 01:58:00",1568.89
"2017-05-08 01:59:00",1568.61
"2017-05-08 02:00:00",1568.36
"2017-05-08 02:01:00",1567.36
"2017-05-08 02:02:00",1567.56
"2017-05-08 02:03:00",1567.42
"2017-05-08 02:04:00",1567.49
"2017-05-08 02:05:00",1567.57
"2017-05-08 02:06:00",1567.44
"2017-05-08 02:07:00",1567.48
"2017-05-08 02:08:00",1567.55
"2017-05-08 02:09:00",1568.2
"2017-05-08 02:10:00",1566.99
"2017-05-08 02:11:00",1567.02
"2017-05-08 02:12:00",1567.03
"2017-05-08 02:13:00",1567.17
"2017-05-08 02:14:00",1567.37
"2017-05-08 02:15:00",1567.23
"2017-05-08 02:16:00",1567.02
"2017-05-08 02:17:00",1567.48
"2017-05-08 02:18:00",1567.4
"2017-05-08 02:19:00",1567.07
"2017-05-08 02:20:00",1567.88
"2017-05-08 02:21:00",1567.87
"2017-05-08 02:22:00",1568.07
"2017-05-08 02:23:00",1567.77
"2017-05-08 02:24:00",1567.94
"2017-05-08 02:25:00",1567.67
"2017-05-08 02:26:00",1567.02
"2017-05-08 02:27:00",1566.89
"2017-05-08 02:28:00",1567.08
"2017-05-08 02:29:00",1567.35
"2017-05-08 02:30:00",1567.39
"2017-05-08 02:31:00",1567.42
"2017-05-08 02:32:00",1567.38
"2017-05-08 02:33:00",1567.03
"2017-05-08 02:34:00",1567.32
"2017-05-08 02:35:00",1567.09
"2017-05-08 02:36:00",1566.8
"2017-05-08 02:37:00",1566.55
"2017-05-08 02:38:00",1566.36
"2017-05-08 02:39:00",1566.35
"2017-05-08 02:40:00",1566.39
"2017-05-08 02:41:00",1566.14
"2017-05-08 02:42:00",1566.17
"2017-05-08 02:43:00",1564.94
"2017-05-08 02:44:00",1565.18
"2017-05-08 02:45:00",1565.46
"2017-05-08 02:46:00",1564.91
"2017-05-08 02:47:00",1564.26
"2017-05-08 02:48:00",1564.7
"2017-05-08 02:49:00",1564.63
"2017-05-08 02:50:00",1564.5
"2017-05-08 02:51:00",1564.51
"2017-05-08 02:52:00",1564.68
"2017-05-08 02:53:00",1565.39
"2017-05-08 02:54:00",1565.21
"2017-05-08 02:55:00",1565.33
"2017-05-08 02:56:00",1564.47
"2017-05-08 02:57:00",1564.78
"2017-05-08 02:58:00",1564.87
"2017-05-08 02:59:00",1565.95
"2017-05-08 03:00:00",1567.1
"2017-05-08 03:01:00",1568.35
"2017-05-08 03:02:00",1568.28
"2017-05-08 03:03:00",1568.14
"2017-05-08 03:04:00",1568.04
"2017-05-08 03:05:00",1568.03
"2017-05-08 03:06:00",1567.69
"2017-05-08 03:07:00",1567.57
"2017-05-08 03:08:00",1567.37
"2017-05-08 03:09:00",1567.17
"2017-05-08 03:10:00",1567.02
"2017-05-08 03:11:00",1566.65
"2017-05-08 03:12:00",1566.83
"2017-05-08 03:13:00",1567.13
